1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
50%,    236.02,    449.29,    264.42,    288.38,    292.50,    477.69,    501.65,    505.77,    480.74,    508.41,    512.23,      0.00,    213.68,     27.58,     51.07,     55.25,    241.03,    264.57,    268.85,    244.26,    271.10,    275.33
75%,    275.92,    490.12,    304.92,    329.16,    333.44,    519.13,    543.36,    547.65,    521.81,    549.78,    553.82,      0.00,    214.52,     28.62,     53.14,     57.26,    243.00,    267.45,    271.91,    245.98,    273.86,    278.23
max,    462.73,    680.97,    494.17,    520.15,    524.46,    712.41,    738.39,    742.70,    715.37,    745.35,    749.31,      0.00,    218.24,     31.44,     57.42,     61.73,    249.68,    275.66,    279.97,    252.63,    282.62,    286.58
2deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.87,    405.57,    234.59,    273.47,    276.06,    426.30,    465.17,    467.76,    429.79,    470.88,    473.25,      0.00,    191.70,     20.72,     59.60,     62.19,    212.43,    251.30,    253.89,    215.93,    257.01,    259.38
std,     85.54,     86.83,     86.67,     87.75,     87.63,     87.96,     89.04,     88.92,     87.79,     88.93,     88.89,      0.00,      1.57,      1.41,      2.46,      2.32,      2.70,      3.70,      3.57,      2.56,      3.58,      3.54
min,     71.38,    260.99,     89.40,    127.03,    129.57,    279.01,    316.64,    319.18,    282.58,    322.54,    324.87,      0.00,    188.31,     17.98,     55.65,     58.19,    206.56,    244.60,    247.27,    210.26,    250.37,    252.80
25%,    162.81,    352.76,    183.21,    222.15,    224.62,    373.16,    412.10,    414.57,    376.69,    418.02,    420.17,      0.00,    190.60,     19.84,     57.80,     60.66,    210.58,    248.94,    251.70,    214.30,    254.84,    257.10
50%,    221.09,    413.34,    242.85,    281.84,    284.45,    435.09,    473.41,    476.19,    438.83,    479.18,    481.66,      0.00,    191.73,     20.62,     59.31,     61.89,    212.35,    251.13,    253.89,    215.75,    256.76,    259.07
