1p5deg, lowQ10, lowO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       3.11,      0.19,      0.02,      0.21,      3.32
            USA:      16.19,      0.71,      1.15,      1.83,     17.99
         Mexico:       2.10,      1.04,      0.39,      1.44,      3.53
Central America:       1.11,      0.28,      0.06,      0.34,      1.45
         Brazil:       8.20,      6.15,      1.94,      8.12,     16.27
Rest of South America:      10.33,      4.48,      1.37,      5.73,     16.11
Northern Africa:       2.34,      0.00,      0.00,      0.00,      2.35
 Western Africa:       8.60,     18.89,      0.01,     18.90,     27.56
 Eastern Africa:       4.53,      2.04,      0.12,      2.15,      6.67
   South Africa:      13.35,     -0.13,      0.00,     -0.13,     13.22
 Western Europe:       9.09,     -0.60,      0.83,      0.24,      9.31
 Central Europe:       4.39,     -0.45,      0.47,      0.01,      4.41
         Turkey:       1.80,     -0.02,      0.00,     -0.02,      1.78
 Ukraine Region:       2.45,     -0.27,      0.35,      0.07,      2.53
   Central Asia:       6.84,      0.02,      0.00,      0.03,      6.87
  Russia region:      11.64,      0.62,      0.45,      1.08,     12.72
    Middle East:      11.28,      0.01,      0.00,      0.01,     11.28
          India:      29.25,      0.19,      0.12,      0.24,     29.49
   Korea region:       0.84,     -0.26,      0.29,      0.04,      0.88
   China region:      32.28,     -0.39,      1.72,      1.32,     33.61
Southeastern Asia:       9.62,      1.47,      0.87,      2.34,     11.95
Indonesia region:       5.19,      0.83,      0.00,      0.83,      6.01
          Japan:       0.78,     -0.18,      0.25,      0.08,      0.86
        Oceania:       8.12,      1.89,      0.22,      2.13,     10.26
Rest of South Asia:       5.72,      0.11,      0.00,      0.11,      5.82
Rest of Southern Africa:       1.92,      5.82,      0.94,      6.70,      8.60
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     211.06,     42.13,     11.60,     53.60,    264.84
