Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.96,1.98,2.00,1.99,1.95,1.91,1.84,1.78,1.71,1.65,1.59
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.41,0.41,0.41,0.40,0.39,0.38,0.36,0.34,0.33,0.31,0.30
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.55,1.57,1.58,1.58,1.56,1.53,1.48,1.43,1.38,1.34,1.29
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Other,Mt CH4/yr,0.02,0.02,0.04,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CEU,Emissions|CH4|Waste,Mt CH4/yr,1.59,1.56,1.66,1.69,1.64,1.57,1.46,1.35,1.22,1.08,0.96
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4,Mt CH4/yr,60,75,86,86,78,69,61,55,50,46,45
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.13,0.21,0.21,0.17,0.11,0.08,0.06,0.05,0.04,0.03,0.03
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,3.30,3.57,3.22,1.58,0.81,0.44,0.32,0.25,0.22,0.17,0.12
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.05,0.07,0.12,0.17,0.27,0.33,0.36,0.35,0.31,0.27,0.21
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.05,0.07,0.12,0.17,0.27,0.33,0.36,0.35,0.31,0.27,0.21
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Energy Supply,Mt CH4/yr,25,38,47,46,40,32,26,22,19,18,18
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,29,42,51,49,41,33,27,23,20,18,18
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use,Mt CH4/yr,22,23,24,25,25,25,24,23,22,21,21
