Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4,Mt CH4/yr,8.85,9.46,12,13,15,14,14,14,15,15,14
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.71,0.83,1.02,1.01,1.02,0.94,0.98,1.00,0.88,0.71,0.49
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Energy Supply,Mt CH4/yr,0.02,0.02,0.06,0.04,0.05,0.08,0.13,0.15,0.16,0.16,0.14
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.81,0.93,1.19,1.15,1.15,1.07,1.16,1.20,1.10,0.92,0.67
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use,Mt CH4/yr,6.94,7.26,8.84,9.78,11,10,10,10,10,11,11
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.02,0.02,0.03,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,6.22,6.68,8.00,8.24,9.21,9.69,9.87,10,10,10,10
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.20,0.18,0.20,0.20,0.21,0.21,0.21,0.21,0.21
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,5.83,6.27,7.53,7.81,8.82,9.37,9.58,9.74,9.87,9.96,10
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.21,0.22,0.26,0.24,0.19,0.11,0.09,0.08,0.07,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.15,0.04,0.34,1.11,1.63,0.29,0.09,0.05,0.02,0.02,0.09
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.56,0.53,0.48,0.40,0.29,0.28,0.29,0.29,0.27,0.25,0.24
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Other,Mt CH4/yr,0.07,0.08,0.10,0.08,0.07,0.04,0.03,0.04,0.04,0.04,0.03
IMAGE,SSP2-26-SPA2-V17,EAF,Emissions|CH4|Waste,Mt CH4/yr,1.10,1.26,1.65,1.90,2.19,2.33,2.49,2.66,2.78,2.85,2.90
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4,Mt CH4/yr,27,30,29,25,22,20,19,18,17,16,15
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.04,0.05,0.06,0.06,0.07,0.09,0.10,0.08,0.06,0.04,0.03
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,1.69,1.76,1.78,1.56,1.48,1.25,1.15,1.02,0.83,0.66,0.52
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.03,0.04,0.06,0.07,0.09,0.08,0.04,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.03,0.04,0.06,0.07,0.09,0.08,0.04,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Energy Supply,Mt CH4/yr,3.30,4.19,3.34,1.76,0.92,0.66,0.63,0.62,0.52,0.44,0.35
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,5.07,6.04,5.24,3.45,2.56,2.08,1.92,1.74,1.44,1.16,0.92
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use,Mt CH4/yr,17,18,18,15,13,11,10,9.87,9.39,8.91,8.44
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.21,0.25,0.32,0.37,0.38,0.38,0.36,0.34,0.33,0.30,0.29
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,16,17,17,15,12,10,9.73,9.26,8.81,8.36,7.93
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.86,0.93,0.91,0.66,0.45,0.43,0.40,0.38,0.35,0.33,0.31
