Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Energy Supply,Mt CH4/yr,0.73,0.77,0.93,0.51,0.35,0.27,0.32,0.41,0.31,0.32,0.26
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.13,1.21,1.49,1.10,0.98,0.80,0.78,0.81,0.63,0.59,0.49
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use,Mt CH4/yr,9.53,10,11,8.84,7.32,5.84,5.48,5.16,4.89,4.61,4.34
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,9.36,10,11,8.73,7.20,5.71,5.37,5.08,4.81,4.53,4.27
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.36,0.39,0.40,0.30,0.19,0.18,0.16,0.15,0.14,0.13,0.12
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,5.55,6.15,6.62,5.30,4.69,4.15,3.96,3.81,3.68,3.54,3.41
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,3.46,3.71,3.82,3.13,2.31,1.38,1.24,1.11,0.99,0.85,0.73
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.10,0.02,0.04,0.03,0.05,0.06,0.05,0.01,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RSAS,Emissions|CH4|Waste,Mt CH4/yr,2.06,2.25,2.75,2.97,3.06,3.05,3.11,3.17,3.17,3.11,3.01
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4,Mt CH4/yr,19,19,18,9.99,7.19,5.62,3.99,3.66,3.25,2.94,2.70
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.17,0.16,0.13,0.07,0.05,0.03,0.04,0.03,0.02,0.02,0.01
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.03,0.03,0.03,0.03,0.07,0.06,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.03,0.03,0.03,0.03,0.07,0.06,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Energy Supply,Mt CH4/yr,14,14,13,6.01,3.79,2.65,1.38,1.10,0.71,0.43,0.22
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,14,14,13,6.13,3.92,2.76,1.44,1.14,0.74,0.45,0.23
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use,Mt CH4/yr,2.36,2.35,2.56,2.28,2.14,2.01,2.02,2.02,2.02,2.01,2.01
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,2.33,2.32,2.52,2.24,2.10,1.97,1.97,1.98,1.98,1.98,1.97
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.40,0.40,0.43,0.42,0.38,0.37,0.37,0.37,0.37,0.37,0.37
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.89,1.89,2.06,1.79,1.69,1.59,1.59,1.60,1.60,1.60,1.59
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Other,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,RUS,Emissions|CH4|Waste,Mt CH4/yr,2.27,2.27,2.37,1.57,1.12,0.84,0.52,0.49,0.48,0.47,0.45
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4,Mt CH4/yr,2.82,3.10,3.61,2.53,2.10,2.03,2.11,2.23,2.34,2.53,2.46
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.12,0.13,0.11,0.09,0.08,0.06,0.06,0.05,0.05,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Energy Supply,Mt CH4/yr,1.24,1.46,1.81,0.83,0.49,0.53,0.57,0.64,0.71,0.87,0.76
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.37,1.59,1.94,0.94,0.58,0.61,0.64,0.70,0.76,0.91,0.80
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use,Mt CH4/yr,0.98,1.00,1.16,1.07,1.04,1.05,1.13,1.20,1.27,1.33,1.38
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,0.89,0.93,0.96,0.97,1.00,1.01,1.09,1.16,1.23,1.29,1.35
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.87,0.90,0.94,0.94,0.97,0.98,1.05,1.13,1.19,1.25,1.31
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.02,0.00,0.14,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SAF,Emissions|CH4|Waste,Mt CH4/yr,0.47,0.50,0.51,0.52,0.47,0.37,0.34,0.32,0.30,0.28,0.27
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4,Mt CH4/yr,17,19,21,16,15,9.14,8.07,7.99,7.24,7.29,6.24
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.76,0.76,0.65,0.43,0.37,0.25,0.22,0.20,0.15,0.12,0.10
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.02,0.02,0.03,0.03,0.05,0.04,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.02,0.02,0.03,0.03,0.05,0.04,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Energy Supply,Mt CH4/yr,2.92,3.23,4.18,1.96,0.95,0.62,0.51,0.44,0.32,0.26,0.21
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.72,4.03,4.92,2.48,1.40,0.93,0.77,0.67,0.49,0.40,0.32
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use,Mt CH4/yr,11,12,13,11,10,5.57,4.75,4.82,4.35,4.63,3.80
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.34,0.38,0.47,0.57,0.69,0.69,0.67,0.64,0.63,0.61,0.55
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,9.61,10,11,8.67,6.29,3.96,3.78,3.61,3.42,3.21,2.99
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.43,0.48,0.56,0.49,0.34,0.33,0.31,0.30,0.28,0.27,0.26
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,2.05,2.27,2.58,2.23,2.09,1.93,1.91,1.88,1.85,1.81,1.77
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,7.12,7.34,7.83,5.95,3.86,1.70,1.56,1.43,1.29,1.13,0.96
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.69,1.04,0.84,1.40,3.07,0.72,0.12,0.40,0.13,0.66,0.10
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.44,0.43,0.40,0.33,0.20,0.20,0.19,0.18,0.17,0.15,0.16
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Other,Mt CH4/yr,0.00,0.01,0.04,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,SEAS,Emissions|CH4|Waste,Mt CH4/yr,2.40,2.60,2.98,2.99,2.91,2.64,2.55,2.49,2.39,2.26,2.12
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4,Mt CH4/yr,5.77,6.54,7.53,5.06,4.60,3.26,2.59,2.36,2.17,2.07,1.98
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.06,0.08,0.08,0.05,0.04,0.03,0.04,0.03,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Energy Supply,Mt CH4/yr,3.82,4.38,5.09,2.75,2.43,1.29,0.67,0.48,0.35,0.29,0.26
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.89,4.48,5.20,2.81,2.48,1.33,0.72,0.52,0.37,0.32,0.28
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use,Mt CH4/yr,1.39,1.54,1.72,1.63,1.51,1.39,1.37,1.35,1.33,1.31,1.29
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.39,1.53,1.71,1.62,1.50,1.38,1.36,1.34,1.32,1.30,1.28
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.12,0.14,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.23,1.35,1.49,1.41,1.30,1.19,1.17,1.15,1.13,1.11,1.09
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.04,0.04,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Other,Mt CH4/yr,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,STAN,Emissions|CH4|Waste,Mt CH4/yr,0.49,0.52,0.60,0.61,0.60,0.54,0.49,0.48,0.46,0.44,0.41
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4,Mt CH4/yr,3.43,3.65,4.11,3.17,2.90,2.37,2.27,2.26,2.19,2.17,2.10
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.19,0.17,0.14,0.09,0.08,0.06,0.07,0.08,0.07,0.06,0.06
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Energy Supply,Mt CH4/yr,0.39,0.44,0.53,0.26,0.17,0.14,0.15,0.21,0.21,0.21,0.18
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.59,0.63,0.69,0.37,0.26,0.22,0.23,0.30,0.29,0.28,0.23
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use,Mt CH4/yr,1.30,1.36,1.52,1.38,1.34,1.30,1.30,1.31,1.31,1.30,1.30
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.25,1.31,1.46,1.32,1.28,1.23,1.24,1.24,1.25,1.25,1.24
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.25,0.26,0.29,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.97,1.02,1.14,1.04,1.01,0.98,0.99,0.99,1.00,1.00,1.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,TUR,Emissions|CH4|Waste,Mt CH4/yr,1.53,1.65,1.90,1.42,1.29,0.86,0.73,0.66,0.60,0.58,0.56
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4,Mt CH4/yr,4.01,3.55,3.34,2.17,1.61,1.31,1.15,1.11,1.05,1.02,0.98
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.11,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Energy Supply,Mt CH4/yr,2.23,1.87,1.68,0.75,0.34,0.19,0.10,0.09,0.06,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.36,1.95,1.75,0.81,0.40,0.24,0.14,0.12,0.10,0.09,0.09
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use,Mt CH4/yr,0.95,0.92,0.91,0.78,0.73,0.69,0.69,0.68,0.68,0.67,0.66
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,0.94,0.91,0.90,0.77,0.72,0.67,0.67,0.67,0.66,0.66,0.65
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.19,0.18,0.18,0.17,0.15,0.15,0.14,0.14,0.14,0.14,0.14
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.74,0.72,0.71,0.60,0.56,0.53,0.52,0.52,0.52,0.52,0.51
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Other,Mt CH4/yr,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,UKR,Emissions|CH4|Waste,Mt CH4/yr,0.69,0.68,0.67,0.58,0.47,0.37,0.31,0.29,0.27,0.25,0.23
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4,Mt CH4/yr,28,28,23,20,18,15,15,16,16,16,16
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.15,0.13,0.14,0.13,0.12,0.09,0.07,0.06,0.05,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.07,0.06,0.06,0.05,0.04,0.03,0.01,0.01,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.07,0.06,0.06,0.05,0.04,0.03,0.01,0.01,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Energy Supply,Mt CH4/yr,12,11,7.65,4.50,3.23,1.84,1.29,2.05,2.56,2.53,1.92
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,12,12,7.90,4.72,3.42,1.99,1.41,2.15,2.63,2.58,1.97
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use,Mt CH4/yr,10,11,9.06,7.99,7.12,5.60,5.23,5.01,4.79,4.58,4.33
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,10,10,8.89,7.78,6.86,5.40,5.12,4.91,4.69,4.47,4.25
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,2.18,2.27,2.28,1.91,1.83,1.41,1.29,1.25,1.20,1.16,1.10
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,7.62,7.82,6.25,5.56,4.81,3.85,3.70,3.54,3.38,3.22,3.07
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.36,0.36,0.36,0.32,0.21,0.15,0.13,0.12,0.11,0.09,0.08
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.03,0.04,0.07,0.10,0.16,0.10,0.01,0.01,0.02,0.04,0.01
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Other,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,USA,Emissions|CH4|Waste,Mt CH4/yr,5.78,6.11,6.25,6.84,7.40,7.86,8.32,8.72,9.00,9.17,9.23
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4,Mt CH4/yr,9.49,12,16,15,14,13,12,13,13,13,12
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.04,0.04,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.77,0.90,1.15,1.16,1.12,0.96,1.03,1.06,0.90,0.72,0.55
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.01
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.01
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Energy Supply,Mt CH4/yr,0.82,0.91,1.35,0.72,0.66,0.80,0.70,0.69,0.48,0.41,0.31
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.61,1.84,2.55,1.92,1.85,1.84,1.83,1.87,1.51,1.26,0.99
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use,Mt CH4/yr,5.92,7.66,11,10,8.03,6.58,6.12,6.13,6.10,6.04,5.99
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.05,0.07,0.08,0.08,0.07,0.07,0.06,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,4.35,4.80,5.57,5.56,5.62,5.46,5.42,5.44,5.45,5.44,5.40
