1p5deg: 
Total Sink: 
          CTL: 
,Atmos,CCS,Land,Ocean
    LULUC_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,      1.73,      0.00,     53.15,      0.68
std,      0.56,      0.00,      4.28,      0.23
min,      0.91,      0.00,     45.11,      0.31
25%,      1.20,      0.00,     49.46,      0.47
50%,      1.67,      0.00,     53.01,      0.62
75%,      2.24,      0.00,     56.48,      0.89
max,      2.78,      0.00,     62.57,      1.07
    LULUC_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,      1.82,     40.32,     31.69,      0.74
std,      0.35,      3.73,      4.59,      0.14
min,      1.18,     33.66,     23.74,      0.49
25%,      1.52,     37.27,     27.36,      0.62
50%,      1.84,     39.84,     32.16,      0.73
75%,      2.13,     43.80,     35.64,      0.86
max,      2.55,     47.29,     41.78,      1.00
   Linear_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     96.80,     57.73,     58.97,     42.36
std,      3.59,      1.89,     13.90,      0.76
min,     90.24,     53.17,     41.37,     40.38
25%,     94.25,     56.47,     45.12,     41.86
50%,     96.93,     58.04,     59.38,     42.40
75%,     99.08,     59.11,     72.81,     42.86
max,    106.01,     60.93,     75.20,     43.75
   Linear_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     96.72,      0.00,    119.19,     42.30
std,      3.54,      0.00,      6.41,      0.77
min,     90.30,      0.00,    110.34,     40.38
25%,     94.17,      0.00,    113.14,     41.81
50%,     96.84,      0.00,    119.25,     42.36
75%,     98.78,      0.00,    125.15,     42.82
max,    105.59,      0.00,    129.79,     43.73
   Linear_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     96.80,     40.32,     97.73,     42.36
std,      3.59,      3.73,      5.68,      0.76
min,     90.24,     33.66,     89.18,     40.38
25%,     94.25,     37.27,     92.11,     41.86
50%,     96.93,     39.84,     98.01,     42.40
75%,     99.08,     43.80,    102.97,     42.86
max,    106.01,     47.29,    106.86,     43.75
  Coupled_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     96.79,     60.24,     61.17,     42.28
std,      3.59,      1.72,     13.62,      0.77
min,     90.20,     56.08,     43.77,     40.27
25%,     94.25,     59.23,     47.80,     41.81
50%,     96.96,     60.49,     61.31,     42.31
75%,     99.10,     61.32,     74.83,     42.77
max,    106.04,     63.04,     77.02,     43.67
  Coupled_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     96.66,      0.00,    125.57,     42.21
std,      3.51,      0.00,      6.85,      0.77
min,     90.23,      0.00,    115.84,     40.25
25%,     94.08,      0.00,    119.12,     41.73
50%,     96.78,      0.00,    125.57,     42.25
75%,     98.68,      0.00,    132.06,     42.72
max,    105.46,      0.00,    136.83,     43.63
  Coupled_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     96.79,     41.53,    102.66,     42.28
std,      3.59,      3.87,      5.88,      0.77
min,     90.20,     34.69,     94.47,     40.27
25%,     94.25,     38.35,     97.17,     41.81
50%,     96.96,     41.38,    103.30,     42.31
75%,     99.10,     45.02,    108.09,     42.77
max,    106.04,     47.79,    112.87,     43.67
